Position,Weekdays,carburon,waiting_time
10,4,0,15
5,4,0,7.5
6,5,0,11.4
8,4,1,18
3,5,1,9
7,2,0,10.5
9,4,1,20.25
12,1,1,27
7,5,0,13.3
4,3,0,6
13,1,1,29.25
14,0,0,26.6
1,6,0,1.9
8,1,1,18
1,4,1,2.25
3,0,1,9
12,6,0,22.8
7,3,0,10.5
1,1,0,1.5
11,0,0,20.9
7,6,1,21
6,5,1,18
9,5,0,17.1
8,2,0,12
14,6,0,26.6
8,4,1,18
7,4,1,15.75
15,1,0,22.5
8,2,0,12
14,5,1,42
8,6,1,24
1,4,0,1.5
7,6,1,21
4,5,1,12
5,5,0,9.5
12,5,0,22.8
8,6,1,24
13,5,0,24.7
8,2,1,18
7,3,0,10.5
13,5,0,24.7
1,3,0,1.5
7,3,1,15.75
4,3,0,6
13,1,1,29.25
2,5,0,3.8
1,0,1,3
6,2,0,9
12,3,0,18
3,3,1,6.75
5,2,0,7.5
4,5,1,12
11,0,1,33
2,5,0,3.8
5,4,0,7.5
6,5,0,11.4
7,5,1,21
15,0,0,28.5
4,4,1,9
11,2,0,16.5
13,4,0,19.5
7,5,1,21
14,3,1,31.5
11,6,1,33
8,2,1,18
10,1,0,15
4,3,1,9
15,0,1,45
9,4,0,13.5
9,3,0,13.5
2,2,1,4.5
2,2,1,4.5
3,2,0,4.5
5,0,1,15
14,6,0,26.6
8,4,1,18
4,5,0,7.6
13,4,1,29.25
11,2,1,24.75
7,1,1,15.75
6,2,1,13.5
4,4,1,9
9,6,0,17.1
8,4,1,18
14,4,0,21
2,4,1,4.5
6,2,0,9
3,5,1,9
2,6,1,6
4,3,0,6
7,1,0,10.5
5,5,0,9.5
1,0,0,1.9
6,5,1,18
2,6,1,6
12,6,0,22.8
7,6,1,21
13,5,1,39
7,6,0,13.3
5,4,0,7.5
9,6,1,27
1,5,1,3
7,5,0,13.3
9,3,1,20.25
12,0,1,36
3,3,1,6.75
5,2,0,7.5
8,2,1,18
9,5,0,17.1
14,3,0,21
11,0,0,20.9
11,2,0,16.5
5,5,0,9.5
14,6,0,26.6
13,3,0,19.5
5,6,0,9.5
11,5,0,20.9
9,4,1,20.25
1,1,1,2.25
11,5,1,33
14,4,0,21
15,6,1,45
3,2,0,4.5
6,3,0,9
7,2,0,10.5
2,3,0,3
3,0,1,9
5,4,1,11.25
8,0,0,15.2
13,1,1,29.25
13,2,1,29.25
7,0,1,21
11,0,0,20.9
10,3,1,22.5
6,2,0,9
3,1,1,6.75
6,4,0,9
10,2,0,15
2,3,0,3
3,4,1,6.75
11,2,1,24.75
13,1,1,29.25
10,2,1,22.5
9,2,1,20.25
15,2,0,22.5
5,4,0,7.5
9,1,1,20.25
15,5,1,45
15,2,0,22.5
7,0,1,21
7,6,0,13.3
5,4,1,11.25
1,2,1,2.25
1,4,0,1.5
9,2,1,20.25
4,5,0,7.6
5,5,0,9.5
6,0,1,18
13,3,0,19.5
14,6,0,26.6
15,0,0,28.5
6,6,1,18
13,5,1,39
13,3,0,19.5
12,6,1,36
3,4,0,4.5
11,0,1,33
3,6,0,5.7
2,4,1,4.5
12,0,0,22.8
1,5,1,3
12,6,1,36
13,3,1,29.25
2,4,0,3
1,5,0,1.9
5,5,1,15
1,4,1,2.25
5,1,0,7.5
12,3,0,18
9,3,1,20.25
4,4,1,9
10,3,1,22.5
8,4,1,18
1,1,0,1.5
14,5,0,26.6
14,3,1,31.5
11,3,1,24.75
13,2,0,19.5
7,1,0,10.5
13,3,1,29.25
13,3,0,19.5
7,3,1,15.75
10,4,0,15
8,5,1,24
5,0,1,15
15,1,1,33.75
14,4,1,31.5
14,5,1,42
6,6,0,11.4
12,6,1,36
5,0,0,9.5
10,4,1,22.5
6,4,1,13.5
1,5,0,1.9
9,3,1,20.25
7,3,0,10.5
14,6,1,42
6,3,1,13.5
14,3,0,21
3,2,0,4.5
4,6,1,12
9,5,1,27
10,1,1,22.5
11,1,1,24.75
5,4,0,7.5
2,2,1,4.5
15,5,0,28.5
9,2,0,13.5
8,4,1,18
6,1,0,9
11,5,0,20.9
11,1,1,24.75
10,3,0,15
11,2,1,24.75
13,6,1,39
15,1,0,22.5
15,6,0,28.5
6,3,1,13.5
5,2,0,7.5
5,4,1,11.25
11,2,0,16.5
12,2,0,18
11,6,1,33
2,1,1,4.5
15,0,0,28.5
12,1,0,18
6,6,1,18
13,3,1,29.25
3,4,0,4.5
1,2,0,1.5
13,5,0,24.7
4,5,0,7.6
15,6,0,28.5
9,2,1,20.25
4,1,1,9
1,0,0,1.9
9,3,0,13.5
13,1,0,19.5
15,2,1,33.75
10,2,1,22.5
15,3,1,33.75
12,2,0,18
4,6,0,7.6
4,0,1,12
2,6,0,3.8
9,5,0,17.1
5,6,0,9.5
6,3,0,9
11,6,1,33
4,6,0,7.6
15,5,0,28.5
11,0,1,33
5,6,1,15
13,2,1,29.25
8,6,0,15.2
6,3,1,13.5
8,0,1,24
12,1,0,18
11,5,1,33
12,2,0,18
6,1,0,9
10,6,1,30
1,4,1,2.25
1,5,0,1.9
7,6,0,13.3
12,5,1,36
15,4,1,33.75
4,3,0,6
11,5,1,33
10,4,0,15
10,4,0,15
9,0,1,27
6,3,1,13.5
13,0,0,24.7
4,1,1,9
2,4,0,3
14,1,1,31.5
5,5,1,15
11,0,0,20.9
1,4,0,1.5
8,4,0,12
2,0,0,3.8
10,3,1,22.5
7,2,1,15.75
15,3,1,33.75
2,3,0,3
8,4,1,18
13,5,1,39
2,0,0,3.8
10,6,0,19
6,4,0,9
6,3,1,13.5
1,6,0,1.9
15,3,1,33.75
5,6,1,15
7,6,0,13.3
4,1,0,6
10,5,1,30
8,1,0,12
3,6,1,9
5,2,1,11.25
12,2,0,18
5,2,0,7.5
6,5,1,18
8,6,0,15.2
2,3,1,4.5
11,5,0,20.9
13,3,1,29.25
11,3,1,24.75
3,0,0,5.7
13,0,0,24.7
13,1,1,29.25
8,1,1,18
12,2,1,27
14,4,1,31.5
1,6,0,1.9
9,2,1,20.25
14,4,1,31.5
9,3,0,13.5
8,3,0,12
3,5,0,5.7
3,6,0,5.7
15,4,1,33.75
3,4,0,4.5
